INDEX	H2	H2_SE	H2_CHISQ	H2_P	GC	GC_SE	GC_CHISQ	GC_P
48	1.40034e-01	1.30607e-02	1.14957e+02	8.04242e-27	-1.54259e-01	5.77522e-02	7.13448e+00	7.56157e-03
49	1.38053e-01	1.30528e-02	1.11863e+02	3.82958e-26	-1.44048e-01	5.71636e-02	6.35002e+00	1.17380e-02
50	1.46986e-01	1.30882e-02	1.26121e+02	2.89225e-29	-1.18930e-01	5.52757e-02	4.62927e+00	3.14309e-02
51	1.49933e-01	1.30998e-02	1.30999e+02	2.47704e-30	-1.49905e-01	5.59024e-02	7.19071e+00	7.32819e-03
52	1.53427e-01	1.31134e-02	1.36890e+02	1.27459e-31	-1.36975e-01	5.47766e-02	6.25311e+00	1.23975e-02
53	1.63053e-01	1.31507e-02	1.53731e+02	2.65155e-35	-1.05150e-01	5.34362e-02	3.87209e+00	4.90954e-02
54	1.63148e-01	1.31511e-02	1.53901e+02	2.43386e-35	-1.41432e-01	5.29446e-02	7.13594e+00	7.55540e-03
55	1.69591e-01	1.31757e-02	1.65675e+02	6.51409e-38	-1.24192e-01	5.22355e-02	5.65269e+00	1.74286e-02
56	1.74152e-01	1.31930e-02	1.74250e+02	8.72916e-40	-9.45411e-02	5.22017e-02	3.27999e+00	7.01295e-02
57	1.71941e-01	1.31846e-02	1.70068e+02	7.14843e-39	-1.27879e-01	5.08544e-02	6.32324e+00	1.19166e-02
58	1.77142e-01	1.32043e-02	1.79975e+02	4.90683e-41	-1.10443e-01	5.06548e-02	4.75373e+00	2.92349e-02
59	1.71583e-01	1.31833e-02	1.69395e+02	1.00294e-38	-1.13309e-01	4.99317e-02	5.14960e+00	2.32517e-02
60	1.75396e-01	1.31977e-02	1.76622e+02	2.64840e-40	-9.86239e-02	5.04053e-02	3.82836e+00	5.03923e-02
61	1.63888e-01	1.31539e-02	1.55234e+02	1.24490e-35	-9.89730e-02	5.06155e-02	3.82354e+00	5.05373e-02
62	1.59761e-01	1.31380e-02	1.47870e+02	5.06443e-34	-8.74687e-02	5.26233e-02	2.76280e+00	9.64795e-02
63	1.50787e-01	1.31031e-02	1.32427e+02	1.20660e-30	-8.70058e-02	5.27999e-02	2.71537e+00	9.93857e-02
64	1.27922e-01	1.30121e-02	9.66483e+01	8.28015e-23	-7.78781e-02	5.77379e-02	1.81932e+00	1.77395e-01
65	1.12385e-01	1.29485e-02	7.53308e+01	3.98101e-18	-7.29056e-02	6.18084e-02	1.39132e+00	2.38182e-01
