INDEX	H2	SE	CHISQ	P
134	1.97466e-01	1.86798e-02	1.11748e+02	4.05725e-26
135	2.04640e-01	1.86983e-02	1.19778e+02	7.07480e-28
136	1.61502e-01	1.85840e-02	7.55225e+01	3.61267e-18
137	1.79645e-01	1.86329e-02	9.29539e+01	5.35275e-22
138	2.08174e-01	1.87074e-02	1.23830e+02	9.17843e-29
139	1.96944e-01	1.86784e-02	1.11174e+02	5.41930e-26
140	2.27302e-01	1.87557e-02	1.46873e+02	8.36726e-34
141	2.06274e-01	1.87025e-02	1.21643e+02	2.76310e-28
142	1.82135e-01	1.86395e-02	9.54810e+01	1.49321e-22
143	1.60513e-01	1.85813e-02	7.46218e+01	5.70089e-18
144	2.29633e-01	1.87615e-02	1.49807e+02	1.91010e-34
145	2.08282e-01	1.87077e-02	1.23955e+02	8.61966e-29
146	1.77830e-01	1.86281e-02	9.11331e+01	1.34327e-21
147	1.46369e-01	1.85423e-02	6.23121e+01	2.93124e-15
148	2.21407e-01	1.87409e-02	1.39573e+02	3.30082e-32
149	2.05068e-01	1.86994e-02	1.20265e+02	5.53485e-28
150	1.73916e-01	1.86176e-02	8.72632e+01	9.49988e-21
151	2.03943e-01	1.86965e-02	1.18986e+02	1.05470e-27
152	2.02592e-01	1.86931e-02	1.17459e+02	2.27807e-27
153	1.90631e-01	1.86619e-02	1.04345e+02	1.69960e-24
154	1.58113e-01	1.85748e-02	7.24587e+01	1.70569e-17
155	1.75166e-01	1.86210e-02	8.84900e+01	5.10915e-21
156	1.79048e-01	1.86313e-02	9.23529e+01	7.25199e-22
157	1.68951e-01	1.86042e-02	8.24706e+01	1.07254e-19
158	1.59597e-01	1.85788e-02	7.37932e+01	8.67464e-18
159	1.54442e-01	1.85647e-02	6.92077e+01	8.86216e-17
160	1.24297e-01	1.84800e-02	4.52396e+01	1.74346e-11
161	1.32828e-01	1.85043e-02	5.15273e+01	7.06072e-13
162	1.32054e-01	1.85021e-02	5.09401e+01	9.52270e-13
163	1.23048e-01	1.84764e-02	4.43519e+01	2.74339e-11
164	1.24869e-01	1.84816e-02	4.56488e+01	1.41469e-11
165	1.23765e-01	1.84784e-02	4.48604e+01	2.11591e-11
166	1.38365e-01	1.85199e-02	5.58179e+01	7.95039e-14
167	1.39038e-01	1.85218e-02	5.63507e+01	6.06312e-14
168	1.34780e-01	1.85098e-02	5.30211e+01	3.29983e-13
169	1.45502e-01	1.85399e-02	6.15919e+01	4.22550e-15
170	1.47428e-01	1.85453e-02	6.31970e+01	1.87030e-15
171	1.42717e-01	1.85321e-02	5.93062e+01	1.34951e-14
172	1.53807e-01	1.85629e-02	6.86529e+01	1.17410e-16
173	1.55663e-01	1.85680e-02	7.02816e+01	5.14142e-17
174	1.61740e-01	1.85847e-02	7.57399e+01	3.23608e-18
175	1.66125e-01	1.85966e-02	7.97997e+01	4.14359e-19
176	1.74097e-01	1.86181e-02	8.74403e+01	8.68637e-21
177	1.84159e-01	1.86449e-02	9.75587e+01	5.22829e-23
178	1.93628e-01	1.86698e-02	1.07562e+02	3.35303e-25
179	2.01624e-01	1.86906e-02	1.16370e+02	3.94432e-27
180	2.11474e-01	1.87158e-02	1.27673e+02	1.32376e-29
181	2.17118e-01	1.87301e-02	1.34372e+02	4.52958e-31
182	2.13961e-01	1.87221e-02	1.30605e+02	3.02149e-30
183	2.18064e-01	1.87325e-02	1.35511e+02	2.55241e-31
184	2.02943e-01	1.86940e-02	1.17855e+02	1.86581e-27
185	1.80694e-01	1.86357e-02	9.40152e+01	3.13108e-22
186	1.49523e-01	1.85511e-02	6.49644e+01	7.62646e-16
187	1.30031e-01	1.84963e-02	4.94220e+01	2.06415e-12
188	2.09117e-01	1.87098e-02	1.24923e+02	5.29133e-29
189	1.88353e-01	1.86560e-02	1.01932e+02	5.74613e-24
190	1.63083e-01	1.85883e-02	7.69727e+01	1.73335e-18
191	1.42744e-01	1.85322e-02	5.93281e+01	1.33456e-14
192	1.34281e-01	1.85084e-02	5.26374e+01	4.01183e-13
193	1.40555e-01	1.85261e-02	5.75609e+01	3.27667e-14
